port,service,description,tcp,udp,other
91,mit-dov,MIT Dover Spooler,True,,
91,mit-dov,MIT Dover Spooler,,True,
92,npp,Network Printing Protocol,True,,
92,npp,Network Printing Protocol,,True,
93,dcp,Device Control Protocol,True,,
93,dcp,Device Control Protocol,,True,
94,objcall,Tivoli Object Dispatcher,True,,
94,objcall,Tivoli Object Dispatcher,,True,
95,supdup,SUPDUP,True,,
95,supdup,SUPDUP,,True,
96,dixie,DIXIE Protocol Specification,True,,
96,dixie,DIXIE Protocol Specification,,True,
97,swift-rvf,Swift Remote Virtural File Protocol,True,,
97,swift-rvf,Swift Remote Virtural File Protocol,,True,
98,tacnews,TAC News,True,,
98,tacnews,TAC News,,True,
99,metagram,Metagram Relay,True,,
99,metagram,Metagram Relay,,True,
101,hostname,NIC Host Name Server,True,,
101,hostname,NIC Host Name Server,,True,
102,iso-tsap,ISO-TSAP Class 0,True,,
102,iso-tsap,ISO-TSAP Class 0,,True,
103,gppitnp,Genesis Point-to-Point Trans Net,True,,
103,gppitnp,Genesis Point-to-Point Trans Net,,True,
104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,True,,
104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300,,True,
105,cso,CCSO name server protocol,True,,
105,cso,CCSO name server protocol,,True,
105,csnet-ns,Mailbox Name Nameserver,True,,
105,csnet-ns,Mailbox Name Nameserver,,True,
106,3com-tsmux,3COM-TSMUX,True,,
106,3com-tsmux,3COM-TSMUX,,True,
107,rtelnet,Remote Telnet Service,True,,
107,rtelnet,Remote Telnet Service,,True,
108,snagas,SNA Gateway Access Server,True,,
108,snagas,SNA Gateway Access Server,,True,
109,pop2,Post Office Protocol - Version 2,True,,
109,pop2,Post Office Protocol - Version 2,,True,
110,pop3,Post Office Protocol - Version 3,True,,
110,pop3,Post Office Protocol - Version 3,,True,
111,sunrpc,SUN Remote Procedure Call,True,,
111,sunrpc,SUN Remote Procedure Call,,True,
112,mcidas,McIDAS Data Transmission Protocol,True,,
112,mcidas,McIDAS Data Transmission Protocol,,True,
113,ident,,True,,
113,auth,Authentication Service,True,,
113,auth,Authentication Service,,True,
114,,unassigned,,,
115,sftp,Simple File Transfer Protocol,True,,
115,sftp,Simple File Transfer Protocol,,True,
116,ansanotify,ANSA REX Notify,True,,
116,ansanotify,ANSA REX Notify,,True,
117,uucp-path,UUCP Path Service,True,,
117,uucp-path,UUCP Path Service,,True,
118,sqlserv,SQL Services,True,,
118,sqlserv,SQL Services,,True,
119,nntp,Network News Transfer Protocol,True,,
119,nntp,Network News Transfer Protocol,,True,
120,cfdptkt,CFDPTKT,True,,
120,cfdptkt,CFDPTKT,,True,
121,erpc,Encore Expedited Remote Pro.Call,True,,
121,erpc,Encore Expedited Remote Pro.Call,,True,
122,smakynet,SMAKYNET,True,,
122,smakynet,SMAKYNET,,True,
123,ntp,Network Time Protocol,True,,
123,ntp,Network Time Protocol,,True,
124,ansatrader,ANSA REX Trader,True,,
124,ansatrader,ANSA REX Trader,,True,
125,locus-map,Locus PC-Interface Net Map Ser,True,,
125,locus-map,Locus PC-Interface Net Map Ser,,True,
126,nxedit,NXEdit,True,,
126,nxedit,NXEdit,,True,
127,locus-con,Locus PC-Interface Conn Server,True,,
127,locus-con,Locus PC-Interface Conn Server,,True,
128,gss-xlicen,GSS X License Verification,True,,
128,gss-xlicen,GSS X License Verification,,True,
129,pwdgen,Password Generator Protocol,True,,
129,pwdgen,Password Generator Protocol,,True,
130,cisco-fna,cisco FNATIVE,True,,
130,cisco-fna,cisco FNATIVE,,True,
131,cisco-tna,cisco TNATIVE,True,,
131,cisco-tna,cisco TNATIVE,,True,
132,cisco-sys,cisco SYSMAINT,True,,
132,cisco-sys,cisco SYSMAINT,,True,
133,statsrv,Statistics Service,True,,
133,statsrv,Statistics Service,,True,
134,ingres-net,INGRES-NET Service,True,,
134,ingres-net,INGRES-NET Service,,True,
135,epmap,DCE endpoint resolution,True,,
135,epmap,DCE endpoint resolution,,True,
136,profile,PROFILE Naming System,True,,
136,profile,PROFILE Naming System,,True,
137,netbios-ns,NETBIOS Name Service,True,,
137,netbios-ns,NETBIOS Name Service,,True,
138,netbios-dgm,NETBIOS Datagram Service,True,,
138,netbios-dgm,NETBIOS Datagram Service,,True,
139,netbios-ssn,NETBIOS Session Service,True,,
139,netbios-ssn,NETBIOS Session Service,,True,
140,emfis-data,EMFIS Data Service,True,,
140,emfis-data,EMFIS Data Service,,True,
141,emfis-cntl,EMFIS Control Service,True,,
141,emfis-cntl,EMFIS Control Service,,True,
142,bl-idm,Britton-Lee IDM,True,,
142,bl-idm,Britton-Lee IDM,,True,
143,imap,Internet Message Access Protocol,True,,
143,,Reserved,,Reserved,
144,uma,Universal Management Architecture,True,,
144,uma,Universal Management Architecture,,True,
145,uaac,UAAC Protocol,True,,
145,uaac,UAAC Protocol,,True,
146,iso-tp0,ISO-IP0,True,,
146,iso-tp0,ISO-IP0,,True,
147,iso-ip,ISO-IP,True,,
147,iso-ip,ISO-IP,,True,
148,jargon,Jargon,True,,
148,jargon,Jargon,,True,
149,aed-512,AED 512 Emulation Service,True,,
149,aed-512,AED 512 Emulation Service,,True,
150,sql-net,SQL-NET,True,,
150,sql-net,SQL-NET,,True,
151,hems,HEMS,True,,
151,hems,HEMS,,True,
152,bftp,Background File Transfer Program,True,,
152,bftp,Background File Transfer Program,,True,
153,sgmp,SGMP,True,,
153,sgmp,SGMP,,True,
154,netsc-prod,NETSC,True,,
154,netsc-prod,NETSC,,True,
155,netsc-dev,NETSC,True,,
155,netsc-dev,NETSC,,True,
156,sqlsrv,SQL Service,True,,
156,sqlsrv,SQL Service,,True,
157,knet-cmp,KNET/VM Command/Message Protocol,True,,
157,knet-cmp,KNET/VM Command/Message Protocol,,True,
158,pcmail-srv,PCMail Server,True,,
158,pcmail-srv,PCMail Server,,True,
159,nss-routing,NSS-Routing,True,,
159,nss-routing,NSS-Routing,,True,
160,sgmp-traps,SGMP-TRAPS,True,,
160,sgmp-traps,SGMP-TRAPS,,True,
161,snmp,SNMP,True,,
161,snmp,SNMP,,True,
162,snmptrap,SNMPTRAP,True,,
162,snmptrap,SNMPTRAP,,True,
163,cmip-man,CMIP/TCP Manager,True,,
163,cmip-man,CMIP/TCP Manager,,True,
164,cmip-agent,CMIP/TCP Agent,True,,
164,cmip-agent,CMIP/TCP Agent,,True,
