port,service,description,tcp,udp,other
1046,wfremotertm,WebFilter Remote Monitor,,True,
1047,neod1,Sun's NEO Object Request Broker,True,,
1047,neod1,Sun's NEO Object Request Broker,,True,
1048,neod2,Sun's NEO Object Request Broker,True,,
1048,neod2,Sun's NEO Object Request Broker,,True,
1049,td-postman,Tobit David Postman VPMN,True,,
1049,td-postman,Tobit David Postman VPMN,,True,
1050,cma,CORBA Management Agent,True,,
1050,cma,CORBA Management Agent,,True,
1051,optima-vnet,Optima VNET,True,,
1051,optima-vnet,Optima VNET,,True,
1052,ddt,Dynamic DNS Tools,True,,
1052,ddt,Dynamic DNS Tools,,True,
1053,remote-as,Remote Assistant (RA),True,,
1053,remote-as,Remote Assistant (RA),,True,
1054,brvread,BRVREAD,True,,
1054,brvread,BRVREAD,,True,
1055,ansyslmd,ANSYS - License Manager,True,,
1055,ansyslmd,ANSYS - License Manager,,True,
1056,vfo,VFO,True,,
1056,vfo,VFO,,True,
1057,startron,STARTRON,True,,
1057,startron,STARTRON,,True,
1058,nim,nim,True,,
1058,nim,nim,,True,
1059,nimreg,nimreg,True,,
1059,nimreg,nimreg,,True,
1060,polestar,POLESTAR,True,,
1060,polestar,POLESTAR,,True,
1061,kiosk,KIOSK,True,,
1061,kiosk,KIOSK,,True,
1062,veracity,Veracity,True,,
1062,veracity,Veracity,,True,
1063,kyoceranetdev,KyoceraNetDev,True,,
1063,kyoceranetdev,KyoceraNetDev,,True,
1064,jstel,JSTEL,True,,
1064,jstel,JSTEL,,True,
1065,syscomlan,SYSCOMLAN,True,,
1065,syscomlan,SYSCOMLAN,,True,
1066,fpo-fns,FPO-FNS,True,,
1066,fpo-fns,FPO-FNS,,True,
1067,instl-boots,"Installation Bootstrap Proto. Serv. IANA assigned this well-formed service name as a replacement for ""instl_boots"".",True,,
1067,instl_boots,Installation Bootstrap Proto. Serv.,True,,
1067,instl-boots,"Installation Bootstrap Proto. Serv. IANA assigned this well-formed service name as a replacement for ""instl_boots"".",,True,
1067,instl_boots,Installation Bootstrap Proto. Serv.,,True,
1068,instl-bootc,"Installation Bootstrap Proto. Cli. IANA assigned this well-formed service name as a replacement for ""instl_bootc"".",True,,
1068,instl_bootc,Installation Bootstrap Proto. Cli.,True,,
1068,instl-bootc,"Installation Bootstrap Proto. Cli. IANA assigned this well-formed service name as a replacement for ""instl_bootc"".",,True,
1068,instl_bootc,Installation Bootstrap Proto. Cli.,,True,
1069,cognex-insight,COGNEX-INSIGHT,True,,
1069,cognex-insight,COGNEX-INSIGHT,,True,
1070,gmrupdateserv,GMRUpdateSERV,True,,
1070,gmrupdateserv,GMRUpdateSERV,,True,
1071,bsquare-voip,BSQUARE-VOIP,True,,
1071,bsquare-voip,BSQUARE-VOIP,,True,
1072,cardax,CARDAX,True,,
1072,cardax,CARDAX,,True,
1073,bridgecontrol,Bridge Control,True,,
1073,bridgecontrol,Bridge Control,,True,
1074,warmspotMgmt,Warmspot Management Protocol,True,,
1074,warmspotMgmt,Warmspot Management Protocol,,True,
1075,rdrmshc,RDRMSHC,True,,
1075,rdrmshc,RDRMSHC,,True,
1076,dab-sti-c,DAB STI-C,True,,
1076,dab-sti-c,DAB STI-C,,True,
1077,imgames,IMGames,True,,
1077,imgames,IMGames,,True,
1078,avocent-proxy,Avocent Proxy Protocol,True,,
1078,avocent-proxy,Avocent Proxy Protocol,,True,
1079,asprovatalk,ASPROVATalk,True,,
1079,asprovatalk,ASPROVATalk,,True,
1080,socks,Socks,True,,
1080,socks,Socks,,True,
1081,pvuniwien,PVUNIWIEN,True,,
1081,pvuniwien,PVUNIWIEN,,True,
1082,amt-esd-prot,AMT-ESD-PROT,True,,
1082,amt-esd-prot,AMT-ESD-PROT,,True,
1083,ansoft-lm-1,Anasoft License Manager,True,,
1083,ansoft-lm-1,Anasoft License Manager,,True,
1084,ansoft-lm-2,Anasoft License Manager,True,,
1084,ansoft-lm-2,Anasoft License Manager,,True,
1085,webobjects,Web Objects,True,,
1085,webobjects,Web Objects,,True,
1086,cplscrambler-lg,CPL Scrambler Logging,True,,
1086,cplscrambler-lg,CPL Scrambler Logging,,True,
1087,cplscrambler-in,CPL Scrambler Internal,True,,
1087,cplscrambler-in,CPL Scrambler Internal,,True,
1088,cplscrambler-al,CPL Scrambler Alarm Log,True,,
1088,cplscrambler-al,CPL Scrambler Alarm Log,,True,
1089,ff-annunc,FF Annunciation,True,,
1089,ff-annunc,FF Annunciation,,True,
1090,ff-fms,FF Fieldbus Message Specification,True,,
1090,ff-fms,FF Fieldbus Message Specification,,True,
1091,ff-sm,FF System Management,True,,
1091,ff-sm,FF System Management,,True,
1092,obrpd,Open Business Reporting Protocol,True,,
1092,obrpd,Open Business Reporting Protocol,,True,
1093,proofd,PROOFD,True,,
1093,proofd,PROOFD,,True,
1094,rootd,ROOTD,True,,
1094,rootd,ROOTD,,True,
1095,nicelink,NICELink,True,,
1095,nicelink,NICELink,,True,
1096,cnrprotocol,Common Name Resolution Protocol,True,,
1096,cnrprotocol,Common Name Resolution Protocol,,True,
1097,sunclustermgr,Sun Cluster Manager,True,,
1097,sunclustermgr,Sun Cluster Manager,,True,
1098,rmiactivation,RMI Activation,True,,
1098,rmiactivation,RMI Activation,,True,
1099,rmiregistry,RMI Registry,True,,
1099,rmiregistry,RMI Registry,,True,
1100,mctp,MCTP,True,,
1100,mctp,MCTP,,True,
1101,pt2-discover,PT2-DISCOVER,True,,
1101,pt2-discover,PT2-DISCOVER,,True,
1102,adobeserver-1,ADOBE SERVER 1,True,,
1102,adobeserver-1,ADOBE SERVER 1,,True,
1103,adobeserver-2,ADOBE SERVER 2,True,,
1103,adobeserver-2,ADOBE SERVER 2,,True,
1104,xrl,XRL,True,,
1104,xrl,XRL,,True,
1105,ftranhc,FTRANHC,True,,
1105,ftranhc,FTRANHC,,True,
1106,isoipsigport-1,ISOIPSIGPORT-1,True,,
1106,isoipsigport-1,ISOIPSIGPORT-1,,True,
1107,isoipsigport-2,ISOIPSIGPORT-2,True,,
1107,isoipsigport-2,ISOIPSIGPORT-2,,True,
1108,ratio-adp,ratio-adp,True,,
1108,ratio-adp,ratio-adp,,True,
1109,,Reserved - IANA,,,
1110,webadmstart,Start web admin server,True,,
1110,nfsd-keepalive,Client status info,,True,
1111,lmsocialserver,LM Social Server,True,,
1111,lmsocialserver,LM Social Server,,True,
1112,icp,Intelligent Communication Protocol,True,,
1112,icp,Intelligent Communication Protocol,,True,
1113,ltp-deepspace,Licklider Transmission Protocol,True,,
1113,ltp-deepspace,Licklider Transmission Protocol,,True,
1113,ltp-deepspace,Licklider Transmission Protocol,,,dccp
1114,mini-sql,Mini SQL,True,,
1114,mini-sql,Mini SQL,,True,
1115,ardus-trns,ARDUS Transfer,True,,
1115,ardus-trns,ARDUS Transfer,,True,
1116,ardus-cntl,ARDUS Control,True,,
1116,ardus-cntl,ARDUS Control,,True,
1117,ardus-mtrns,ARDUS Multicast Transfer,True,,
1117,ardus-mtrns,ARDUS Multicast Transfer,,True,
1118,sacred,SACRED,True,,
1118,sacred,SACRED,,True,
1119,bnetgame,Battle.net Chat/Game Protocol,True,,
1119,bnetgame,Battle.net Chat/Game Protocol,,True,
1120,bnetfile,Battle.net File Transfer Protocol,True,,
1120,bnetfile,Battle.net File Transfer Protocol,,True,
1121,rmpp,Datalode RMPP,True,,
1121,rmpp,Datalode RMPP,,True,
1122,availant-mgr,availant-mgr,True,,
1122,availant-mgr,availant-mgr,,True,
1123,murray,Murray,True,,
1123,murray,Murray,,True,
1124,hpvmmcontrol,HP VMM Control,True,,
1124,hpvmmcontrol,HP VMM Control,,True,
1125,hpvmmagent,HP VMM Agent,True,,
1125,hpvmmagent,HP VMM Agent,,True,
1126,hpvmmdata,HP VMM Agent,True,,
1126,hpvmmdata,HP VMM Agent,,True,
1127,kwdb-commn,KWDB Remote Communication,True,,
1127,kwdb-commn,KWDB Remote Communication,,True,
1128,saphostctrl,SAPHostControl over SOAP/HTTP,True,,
1128,saphostctrl,SAPHostControl over SOAP/HTTP,,True,
1129,saphostctrls,SAPHostControl over SOAP/HTTPS,True,,
1129,saphostctrls,SAPHostControl over SOAP/HTTPS,,True,
1130,casp,CAC App Service Protocol,True,,
1130,casp,CAC App Service Protocol,,True,
1131,caspssl,CAC App Service Protocol Encripted,True,,
1131,caspssl,CAC App Service Protocol Encripted,,True,
1132,kvm-via-ip,KVM-via-IP Management Service,True,,
1132,kvm-via-ip,KVM-via-IP Management Service,,True,
1133,dfn,Data Flow Network,True,,
1133,dfn,Data Flow Network,,True,
1134,aplx,MicroAPL APLX,True,,
1134,aplx,MicroAPL APLX,,True,
1135,omnivision,OmniVision Communication Service,True,,
1135,omnivision,OmniVision Communication Service,,True,
1136,hhb-gateway,HHB Gateway Control,True,,
1136,hhb-gateway,HHB Gateway Control,,True,
1137,trim,TRIM Workgroup Service,True,,
1137,trim,TRIM Workgroup Service,,True,
1138,encrypted-admin,"encrypted admin requests IANA assigned this well-formed service name as a replacement for ""encrypted_admin"".",True,,
1138,encrypted_admin,encrypted admin requests,True,,
1138,encrypted-admin,"encrypted admin requests IANA assigned this well-formed service name as a replacement for ""encrypted_admin"".",,True,
1138,encrypted_admin,encrypted admin requests,,True,
1139,evm,Enterprise Virtual Manager,True,,
1139,evm,Enterprise Virtual Manager,,True,
1140,autonoc,AutoNOC Network Operations Protocol,True,,
1140,autonoc,AutoNOC Network Operations Protocol,,True,
1141,mxomss,User Message Service,True,,
1141,mxomss,User Message Service,,True,
1142,edtools,User Discovery Service,True,,
1142,edtools,User Discovery Service,,True,
1143,imyx,Infomatryx Exchange,True,,
1143,imyx,Infomatryx Exchange,,True,
1144,fuscript,Fusion Script,True,,
1144,fuscript,Fusion Script,,True,
1145,x9-icue,X9 iCue Show Control,True,,
1145,x9-icue,X9 iCue Show Control,,True,
1146,audit-transfer,audit transfer,True,,
1146,audit-transfer,audit transfer,,True,
1147,capioverlan,CAPIoverLAN,True,,
1147,capioverlan,CAPIoverLAN,,True,
1148,elfiq-repl,Elfiq Replication Service,True,,
1148,elfiq-repl,Elfiq Replication Service,,True,
1149,bvtsonar,BlueView Sonar Service,True,,
1149,bvtsonar,BlueView Sonar Service,,True,
1150,blaze,Blaze File Server,True,,
1150,blaze,Blaze File Server,,True,
1151,unizensus,Unizensus Login Server,True,,
1151,unizensus,Unizensus Login Server,,True,
1152,winpoplanmess,Winpopup LAN Messenger,True,,
1152,winpoplanmess,Winpopup LAN Messenger,,True,
1153,c1222-acse,ANSI C12.22 Port,True,,
1153,c1222-acse,ANSI C12.22 Port,,True,
1154,resacommunity,Community Service,True,,
1154,resacommunity,Community Service,,True,
1155,nfa,Network File Access,True,,
1155,nfa,Network File Access,,True,
1156,iascontrol-oms,iasControl OMS,True,,
1156,iascontrol-oms,iasControl OMS,,True,
1157,iascontrol,Oracle iASControl,True,,
1157,iascontrol,Oracle iASControl,,True,
1158,dbcontrol-oms,dbControl OMS,True,,
1158,dbcontrol-oms,dbControl OMS,,True,
1159,oracle-oms,Oracle OMS,True,,
1159,oracle-oms,Oracle OMS,,True,
1160,olsv,DB Lite Mult-User Server,True,,
1160,olsv,DB Lite Mult-User Server,,True,
1161,health-polling,Health Polling,True,,
1161,health-polling,Health Polling,,True,
1162,health-trap,Health Trap,True,,
1162,health-trap,Health Trap,,True,
1163,sddp,SmartDialer Data Protocol,True,,
1163,sddp,SmartDialer Data Protocol,,True,
1164,qsm-proxy,QSM Proxy Service,True,,
1164,qsm-proxy,QSM Proxy Service,,True,
1165,qsm-gui,QSM GUI Service,True,,
1165,qsm-gui,QSM GUI Service,,True,
1166,qsm-remote,QSM RemoteExec,True,,
1166,qsm-remote,QSM RemoteExec,,True,
1167,cisco-ipsla,Cisco IP SLAs Control Protocol,True,,
1167,cisco-ipsla,Cisco IP SLAs Control Protocol,,True,
1167,cisco-ipsla,Cisco IP SLAs Control Protocol,,,sctp
1168,vchat,VChat Conference Service,True,,
1168,vchat,VChat Conference Service,,True,
1169,tripwire,TRIPWIRE,True,,
1169,tripwire,TRIPWIRE,,True,
1170,atc-lm,AT+C License Manager,True,,
1170,atc-lm,AT+C License Manager,,True,
1171,atc-appserver,AT+C FmiApplicationServer,True,,
1171,atc-appserver,AT+C FmiApplicationServer,,True,
1172,dnap,DNA Protocol,True,,
1172,dnap,DNA Protocol,,True,
1173,d-cinema-rrp,D-Cinema Request-Response,True,,
1173,d-cinema-rrp,D-Cinema Request-Response,,True,
1174,fnet-remote-ui,FlashNet Remote Admin,True,,
1174,fnet-remote-ui,FlashNet Remote Admin,,True,
1175,dossier,Dossier Server,True,,
1175,dossier,Dossier Server,,True,
1176,indigo-server,Indigo Home Server,True,,
1176,indigo-server,Indigo Home Server,,True,
1177,dkmessenger,DKMessenger Protocol,True,,
1177,dkmessenger,DKMessenger Protocol,,True,
1178,sgi-storman,SGI Storage Manager,True,,
1178,sgi-storman,SGI Storage Manager,,True,
1179,b2n,Backup To Neighbor,True,,
1179,b2n,Backup To Neighbor,,True,
1180,mc-client,Millicent Client Proxy,True,,
1180,mc-client,Millicent Client Proxy,,True,
1181,3comnetman,3Com Net Management,True,,
1181,3comnetman,3Com Net Management,,True,
1182,accelenet,AcceleNet Control,True,,
1182,accelenet-data,AcceleNet Data,,True,
1183,llsurfup-http,LL Surfup HTTP,True,,
1183,llsurfup-http,LL Surfup HTTP,,True,
1184,llsurfup-https,LL Surfup HTTPS,True,,
1184,llsurfup-https,LL Surfup HTTPS,,True,
1185,catchpole,Catchpole port,True,,
1185,catchpole,Catchpole port,,True,
1186,mysql-cluster,MySQL Cluster Manager,True,,
1186,mysql-cluster,MySQL Cluster Manager,,True,
1187,alias,Alias Service,True,,
1187,alias,Alias Service,,True,
1188,hp-webadmin,HP Web Admin,True,,
1188,hp-webadmin,HP Web Admin,,True,
1189,unet,Unet Connection,True,,
1189,unet,Unet Connection,,True,
1190,commlinx-avl,CommLinx GPS / AVL System,True,,
1190,commlinx-avl,CommLinx GPS / AVL System,,True,
1191,gpfs,General Parallel File System,True,,
1191,gpfs,General Parallel File System,,True,
1192,caids-sensor,caids sensors channel,True,,
1192,caids-sensor,caids sensors channel,,True,
1193,fiveacross,Five Across Server,True,,
1193,fiveacross,Five Across Server,,True,
1194,openvpn,OpenVPN,True,,
1194,openvpn,OpenVPN,,True,
1195,rsf-1,RSF-1 clustering,True,,
1195,rsf-1,RSF-1 clustering,,True,
1196,netmagic,Network Magic,True,,
1196,netmagic,Network Magic,,True,
1197,carrius-rshell,Carrius Remote Access,True,,
1197,carrius-rshell,Carrius Remote Access,,True,
1198,cajo-discovery,cajo reference discovery,True,,
1198,cajo-discovery,cajo reference discovery,,True,
1199,dmidi,DMIDI,True,,
1199,dmidi,DMIDI,,True,
1200,scol,SCOL,True,,
1200,scol,SCOL,,True,
1201,nucleus-sand,Nucleus Sand Database Server,True,,
1201,nucleus-sand,Nucleus Sand Database Server,,True,
1202,caiccipc,caiccipc,True,,
1202,caiccipc,caiccipc,,True,
1203,ssslic-mgr,License Validation,True,,
1203,ssslic-mgr,License Validation,,True,
1204,ssslog-mgr,Log Request Listener,True,,
1204,ssslog-mgr,Log Request Listener,,True,
1205,accord-mgc,Accord-MGC,True,,
1205,accord-mgc,Accord-MGC,,True,
1206,anthony-data,Anthony Data,True,,
1206,anthony-data,Anthony Data,,True,
1207,metasage,MetaSage,True,,
1207,metasage,MetaSage,,True,
1208,seagull-ais,SEAGULL AIS,True,,
1208,seagull-ais,SEAGULL AIS,,True,
1209,ipcd3,IPCD3,True,,
1209,ipcd3,IPCD3,,True,
1210,eoss,EOSS,True,,
1210,eoss,EOSS,,True,
1211,groove-dpp,Groove DPP,True,,
1211,groove-dpp,Groove DPP,,True,
1212,lupa,lupa,True,,
1212,lupa,lupa,,True,
1213,mpc-lifenet,Medtronic/Physio-Control LIFENET,True,,
1213,mpc-lifenet,Medtronic/Physio-Control LIFENET,,True,
1214,kazaa,KAZAA,True,,
1214,kazaa,KAZAA,,True,
1215,scanstat-1,scanSTAT 1.0,True,,
1215,scanstat-1,scanSTAT 1.0,,True,
1216,etebac5,ETEBAC 5,True,,
1216,etebac5,ETEBAC 5,,True,
1217,hpss-ndapi,HPSS NonDCE Gateway,True,,
1217,hpss-ndapi,HPSS NonDCE Gateway,,True,
1218,aeroflight-ads,AeroFlight-ADs,True,,
1218,aeroflight-ads,AeroFlight-ADs,,True,
1219,aeroflight-ret,AeroFlight-Ret,True,,
1219,aeroflight-ret,AeroFlight-Ret,,True,
1220,qt-serveradmin,QT SERVER ADMIN,True,,
1220,qt-serveradmin,QT SERVER ADMIN,,True,
1221,sweetware-apps,SweetWARE Apps,True,,
1221,sweetware-apps,SweetWARE Apps,,True,
1222,nerv,SNI R&D network,True,,
1222,nerv,SNI R&D network,,True,
1223,tgp,TrulyGlobal Protocol,True,,
1223,tgp,TrulyGlobal Protocol,,True,
1224,vpnz,VPNz,True,,
1224,vpnz,VPNz,,True,
1225,slinkysearch,SLINKYSEARCH,True,,
1225,slinkysearch,SLINKYSEARCH,,True,
1226,stgxfws,STGXFWS,True,,
1226,stgxfws,STGXFWS,,True,
1227,dns2go,DNS2Go,True,,
1227,dns2go,DNS2Go,,True,
1228,florence,FLORENCE,True,,
1228,florence,FLORENCE,,True,
1229,zented,ZENworks Tiered Electronic Distribution,True,,
1229,zented,ZENworks Tiered Electronic Distribution,,True,
1230,periscope,Periscope,True,,
1230,periscope,Periscope,,True,
1231,menandmice-lpm,menandmice-lpm,True,,
1231,menandmice-lpm,menandmice-lpm,,True,
1232,first-defense,Remote systems monitoring,True,,
1232,first-defense,Remote systems monitoring,,True,
1233,univ-appserver,Universal App Server,True,,
1233,univ-appserver,Universal App Server,,True,
1234,search-agent,Infoseek Search Agent,True,,
1234,search-agent,Infoseek Search Agent,,True,
1235,mosaicsyssvc1,mosaicsyssvc1,True,,
1235,mosaicsyssvc1,mosaicsyssvc1,,True,
1236,bvcontrol,bvcontrol,True,,
1236,bvcontrol,bvcontrol,,True,
1237,tsdos390,tsdos390,True,,
1237,tsdos390,tsdos390,,True,
1238,hacl-qs,hacl-qs,True,,
1238,hacl-qs,hacl-qs,,True,
1239,nmsd,NMSD,True,,
1239,nmsd,NMSD,,True,
1240,instantia,Instantia,True,,
1240,instantia,Instantia,,True,
1241,nessus,nessus,True,,
1241,nessus,nessus,,True,
1242,nmasoverip,NMAS over IP,True,,
1242,nmasoverip,NMAS over IP,,True,
1243,serialgateway,SerialGateway,True,,
1243,serialgateway,SerialGateway,,True,
1244,isbconference1,isbconference1,True,,
1244,isbconference1,isbconference1,,True,
1245,isbconference2,isbconference2,True,,
1245,isbconference2,isbconference2,,True,
1246,payrouter,payrouter,True,,
1246,payrouter,payrouter,,True,
1247,visionpyramid,VisionPyramid,True,,
1247,visionpyramid,VisionPyramid,,True,
1248,hermes,hermes,True,,
1248,hermes,hermes,,True,
1249,mesavistaco,Mesa Vista Co,True,,
1249,mesavistaco,Mesa Vista Co,,True,
1250,swldy-sias,swldy-sias,True,,
1250,swldy-sias,swldy-sias,,True,
1251,servergraph,servergraph,True,,
1251,servergraph,servergraph,,True,
1252,bspne-pcc,bspne-pcc,True,,
1252,bspne-pcc,bspne-pcc,,True,
1253,q55-pcc,q55-pcc,True,,
1253,q55-pcc,q55-pcc,,True,
1254,de-noc,de-noc,True,,
1254,de-noc,de-noc,,True,
1255,de-cache-query,de-cache-query,True,,
1255,de-cache-query,de-cache-query,,True,
1256,de-server,de-server,True,,
1256,de-server,de-server,,True,
1257,shockwave2,Shockwave 2,True,,
1257,shockwave2,Shockwave 2,,True,
1258,opennl,Open Network Library,True,,
1258,opennl,Open Network Library,,True,
1259,opennl-voice,Open Network Library Voice,True,,
1259,opennl-voice,Open Network Library Voice,,True,
1260,ibm-ssd,ibm-ssd,True,,
1260,ibm-ssd,ibm-ssd,,True,
1261,mpshrsv,mpshrsv,True,,
1261,mpshrsv,mpshrsv,,True,
1262,qnts-orb,QNTS-ORB,True,,
1262,qnts-orb,QNTS-ORB,,True,
1263,dka,dka,True,,
1263,dka,dka,,True,
1264,prat,PRAT,True,,
1264,prat,PRAT,,True,
1265,dssiapi,DSSIAPI,True,,
1265,dssiapi,DSSIAPI,,True,
1266,dellpwrappks,DELLPWRAPPKS,True,,
1266,dellpwrappks,DELLPWRAPPKS,,True,
1267,epc,eTrust Policy Compliance,True,,
1267,epc,eTrust Policy Compliance,,True,
1268,propel-msgsys,PROPEL-MSGSYS,True,,
1268,propel-msgsys,PROPEL-MSGSYS,,True,
1269,watilapp,WATiLaPP,True,,
1269,watilapp,WATiLaPP,,True,
1270,opsmgr,Microsoft Operations Manager,True,,
1270,opsmgr,Microsoft Operations Manager,,True,
1271,excw,eXcW,True,,
1271,excw,eXcW,,True,
1272,cspmlockmgr,CSPMLockMgr,True,,
1272,cspmlockmgr,CSPMLockMgr,,True,
1273,emc-gateway,EMC-Gateway,True,,
1273,emc-gateway,EMC-Gateway,,True,
1274,t1distproc,t1distproc,True,,
1274,t1distproc,t1distproc,,True,
1275,ivcollector,ivcollector,True,,
1275,ivcollector,ivcollector,,True,
1276,,Reserved,Reserved,,
1276,,Reserved,,Reserved,
1277,miva-mqs,mqs,True,,
1277,miva-mqs,mqs,,True,
1278,dellwebadmin-1,Dell Web Admin 1,True,,
1278,dellwebadmin-1,Dell Web Admin 1,,True,
1279,dellwebadmin-2,Dell Web Admin 2,True,,
1279,dellwebadmin-2,Dell Web Admin 2,,True,
1280,pictrography,Pictrography,True,,
1280,pictrography,Pictrography,,True,
1281,healthd,healthd,True,,
1281,healthd,healthd,,True,
1282,emperion,Emperion,True,,
1282,emperion,Emperion,,True,
1283,productinfo,Product Information,True,,
1283,productinfo,Product Information,,True,
1284,iee-qfx,IEE-QFX,True,,
1284,iee-qfx,IEE-QFX,,True,
1285,neoiface,neoiface,True,,
1285,neoiface,neoiface,,True,
1286,netuitive,netuitive,True,,
1286,netuitive,netuitive,,True,
1287,routematch,RouteMatch Com,True,,
1287,routematch,RouteMatch Com,,True,
1288,navbuddy,NavBuddy,True,,
1288,navbuddy,NavBuddy,,True,
1289,jwalkserver,JWalkServer,True,,
1289,jwalkserver,JWalkServer,,True,
1290,winjaserver,WinJaServer,True,,
1290,winjaserver,WinJaServer,,True,
1291,seagulllms,SEAGULLLMS,True,,
1291,seagulllms,SEAGULLLMS,,True,
1292,dsdn,dsdn,True,,
1292,dsdn,dsdn,,True,
1293,pkt-krb-ipsec,PKT-KRB-IPSec,True,,
1293,pkt-krb-ipsec,PKT-KRB-IPSec,,True,
1294,cmmdriver,CMMdriver,True,,
1294,cmmdriver,CMMdriver,,True,
1295,ehtp,End-by-Hop Transmission Protocol,True,,
1295,ehtp,End-by-Hop Transmission Protocol,,True,
1296,dproxy,dproxy,True,,
1296,dproxy,dproxy,,True,
1297,sdproxy,sdproxy,True,,
1297,sdproxy,sdproxy,,True,
1298,lpcp,lpcp,True,,
1298,lpcp,lpcp,,True,
1299,hp-sci,hp-sci,True,,
1299,hp-sci,hp-sci,,True,
1300,h323hostcallsc,H.323 Secure Call Control Signalling,True,,
1300,h323hostcallsc,H.323 Secure Call Control Signalling,,True,
1301,,Reserved,Reserved,,
1301,,Reserved,,Reserved,
1302,,Reserved,Reserved,,
1302,,Reserved,,Reserved,
1303,sftsrv,sftsrv,True,,
1303,sftsrv,sftsrv,,True,
1304,boomerang,Boomerang,True,,
1304,boomerang,Boomerang,,True,
1305,pe-mike,pe-mike,True,,
1305,pe-mike,pe-mike,,True,
1306,re-conn-proto,RE-Conn-Proto,True,,
1306,re-conn-proto,RE-Conn-Proto,,True,
1307,pacmand,Pacmand,True,,
1307,pacmand,Pacmand,,True,
1308,odsi,Optical Domain Service Interconnect (ODSI),True,,
1308,odsi,Optical Domain Service Interconnect (ODSI),,True,
1309,jtag-server,JTAG server,True,,
1309,jtag-server,JTAG server,,True,
1310,husky,Husky,True,,
1310,husky,Husky,,True,
1311,rxmon,RxMon,True,,
1311,rxmon,RxMon,,True,
1312,sti-envision,STI Envision,True,,
1312,sti-envision,STI Envision,,True,
1313,bmc-patroldb,"BMC_PATROLDB IANA assigned this well-formed service name as a replacement for ""bmc_patroldb"".",True,,
1313,bmc_patroldb,BMC_PATROLDB,True,,
1313,bmc-patroldb,"BMC_PATROLDB IANA assigned this well-formed service name as a replacement for ""bmc_patroldb"".",,True,
1313,bmc_patroldb,BMC_PATROLDB,,True,
1314,pdps,Photoscript Distributed Printing System,True,,
1314,pdps,Photoscript Distributed Printing System,,True,
1315,els,"E.L.S., Event Listener Service",True,,
1315,els,"E.L.S., Event Listener Service",,True,
1316,exbit-escp,Exbit-ESCP,True,,
1316,exbit-escp,Exbit-ESCP,,True,
1317,vrts-ipcserver,vrts-ipcserver,True,,
1317,vrts-ipcserver,vrts-ipcserver,,True,
1318,krb5gatekeeper,krb5gatekeeper,True,,
1318,krb5gatekeeper,krb5gatekeeper,,True,
1319,amx-icsp,AMX-ICSP,True,,
1319,amx-icsp,AMX-ICSP,,True,
1320,amx-axbnet,AMX-AXBNET,True,,
1320,amx-axbnet,AMX-AXBNET,,True,
1321,pip,PIP,True,,
1321,pip,PIP,,True,
1322,novation,Novation,True,,
1322,novation,Novation,,True,
1323,brcd,brcd,True,,
1323,brcd,brcd,,True,
1324,delta-mcp,delta-mcp,True,,
1324,delta-mcp,delta-mcp,,True,
1325,dx-instrument,DX-Instrument,True,,
1325,dx-instrument,DX-Instrument,,True,
1326,wimsic,WIMSIC,True,,
1326,wimsic,WIMSIC,,True,
1327,ultrex,Ultrex,True,,
1327,ultrex,Ultrex,,True,
1328,ewall,EWALL,True,,
1328,ewall,EWALL,,True,
1329,netdb-export,netdb-export,True,,
1329,netdb-export,netdb-export,,True,
1330,streetperfect,StreetPerfect,True,,
1330,streetperfect,StreetPerfect,,True,
1331,intersan,intersan,True,,
1331,intersan,intersan,,True,
1332,pcia-rxp-b,PCIA RXP-B,True,,
1332,pcia-rxp-b,PCIA RXP-B,,True,
1333,passwrd-policy,Password Policy,True,,
1333,passwrd-policy,Password Policy,,True,
1334,writesrv,writesrv,True,,
1334,writesrv,writesrv,,True,
1335,digital-notary,Digital Notary Protocol,True,,
1335,digital-notary,Digital Notary Protocol,,True,
1336,ischat,Instant Service Chat,True,,
1336,ischat,Instant Service Chat,,True,
1337,menandmice-dns,menandmice DNS,True,,
1337,menandmice-dns,menandmice DNS,,True,
1338,wmc-log-svc,WMC-log-svr,True,,
1338,wmc-log-svc,WMC-log-svr,,True,
1339,kjtsiteserver,kjtsiteserver,True,,
1339,kjtsiteserver,kjtsiteserver,,True,
1340,naap,NAAP,True,,
1340,naap,NAAP,,True,
1341,qubes,QuBES,True,,
1341,qubes,QuBES,,True,
1342,esbroker,ESBroker,True,,
1342,esbroker,ESBroker,,True,
1343,re101,re101,True,,
1343,re101,re101,,True,
1344,icap,ICAP,True,,
1344,icap,ICAP,,True,
1345,vpjp,VPJP,True,,
1345,vpjp,VPJP,,True,
1346,alta-ana-lm,Alta Analytics License Manager,True,,
1346,alta-ana-lm,Alta Analytics License Manager,,True,
1347,bbn-mmc,multi media conferencing,True,,
1347,bbn-mmc,multi media conferencing,,True,
1348,bbn-mmx,multi media conferencing,True,,
1348,bbn-mmx,multi media conferencing,,True,
1349,sbook,Registration Network Protocol,True,,
1349,sbook,Registration Network Protocol,,True,
1350,editbench,Registration Network Protocol,True,,
1350,editbench,Registration Network Protocol,,True,
1351,equationbuilder,Digital Tool Works (MIT),True,,
1351,equationbuilder,Digital Tool Works (MIT),,True,
1352,lotusnote,Lotus Note,True,,
1352,lotusnote,Lotus Note,,True,
1353,relief,Relief Consulting,True,,
1353,relief,Relief Consulting,,True,
1354,XSIP-network,Five Across XSIP Network,True,,
